text,label
nheb nkollek ana mathimni fi tunis ken ca w madhabia timchi 3la rohek milli ritnek ma rana khir,0
slim slim slim slim,0
salim ben hamidane,0
eli ychouf fihom zouz frèret ydez like,0
slm brabi kifeh enajmo enbadlo meken alinti5ab,0
saidi erais plz 3awen tawfik el7ichri,0
abonné vous slvp,0
rached hanbli klem maakoul win elli yefhem,0
l caché maktoub fih baladiat setif,0
eli ja min 3ind salem mr ya3melli abonnés,0
raghma dhalika laa yajibou an tasta9iila li2annahou insi7abon wal insi7abou fii hadha alwa9ti laysa fii masla7atil bilaad,0
kolha faléma b1 dit m3alem,0
sallimli 3la riyadh bannour ou samma3ni salem tzzt,0
slim y a rya7i,0
qui a commencé la seconde guerre mondiale,0
raja3 djaboo,0
elki g samara,0
hoss em pato mat7esshech mrakba barcha el video wel klem mch rekeb 3ala ta7riket fomha,0
nal9aw kol épisode tahbet f youtube ou non,0
tunisie l aïd el idha aura lieu le juillet,0
hh slim rye7i,0
hh w hèdha wè7ed è5er,0
raje3na karim chameri,0
w reportage,0
kol chhour 3andhom 5aritet tari9 ken jite tbarmje fi 5arita bech te7tale el3elem rahi kemlet hal5arita w ben kolchay,0
hamza aroua,0
lezmek traja3 syestek khater tar9tek fessyesse classique barcha wmetwassalch nsi7a nenni e5tar men tew ye m3ahom ye m3a lmo3artha wkoun mou3areth wa7dek wbtari9tek wrekez men tew 3le taba9a lwosta welfa9ira wken t7eb kellemni tew no9llek ech te3mel,0
raj3et elpage,0
saiez raomdane t3ada wel 7amd me fema nar cha3la ylzemha tatfi eli t7eb ntafiwaha m3a b3adna tjini privè,0
sami trabelsi hh,0
hizo m3akom yassin harouch hh,0
jaded l tijeni bel3id y rayiss a7sen 7aja rahi matlab jomhour l galia l kol yahdik,0
sélem alaykom brabi eni mowatén men soussa mchit 3am litalia m3a marti b paspori b kol chay w sahél rabi w jibt wléd loul oussema abdelkader w bechir abdelkader w kont fi italia nekhdem ba7ar nhar men nharat 5rajt bekri nekhdim w 5alit marti m3a s8ar fi dar marti 5arjit sbeh bich ta9thi w 5alet s8r fi dar re9din 5afet alehom mil bard s8ar ki 9amou min noum bdew yebkiw jirén sam3ouhom kalmou l bouliciya ta3 italia 5al3ou l bibén w da5lou hazou s8ar men ghirr sbab biti3élit 7imeyit tifl ba3d ki rawaht 9it mar,0
ramzi chaouch 7ot j aime,0
ellila hedha,0
mnin chrit ou maryoulk,0
inca al lahe,0
i chnya lmouchkla omoro y3ml greve omoro hawa fama barcha mortz9a y7archo fih ml3bi fi l espoire radoh i3lem l3ar messi omoro kn 3ndo 7a9 taw y5do et lfifa bintna et youfa fama 9anoune ok 9alo greve ymchi lfifa t5olo 7a9o mela 7keya hh,0
la tfarjna fih wla sma3na lklma te3tadher wahdk,0
hh slim chibob hadaka hh,0
mekteb chnouwa houwa,0
slim erye7 tawa fi la5bar tv ,0
hhbki 3al floushh kolha te,0
wa9teche yebdaa,0
tnajem tab3atli fi privi fma mawdo3 mhim barch n7eb na7kiholek,0
sava alle,0
so2al moch fi ma7alo ama gheneya f court métrage mtee chkoun,0
hha hgga,0
svp n7eb na3ref est ce que s7i7 cpr bech yet7alef m3a nahdha,0
sami 3andi lik soual,0
imchii lelgassrine,0
hotel les pyramides,0
blahi chesmha l8naya,0
oussema ellanie chniya l7kiya o,0
saif eddine khechini hh,0
jamais trouve en tunisie,0
slim moumen,0
raja3 rjel te5dem w jadded ltijani touzgart saber wrsleti,0
sakrena elbarnemej si 3ala,0
sans blagues,0
raja3 djabouu,0
heb waka krah hadi hiya dounia,0
m3aa wa9tehh,0
slt rouge,0
slimm president,0
wa9tech l i3ada brabbi,0
hh salouma mohamed sahbi khlifi,0
slouma fammech arbutre jdid fi lmirkatou,0
rabi m3akom ya weldi me3adech wa9t 3al recrutemonet yehdikom william jibour ebenzer asifouahwilliam jibour ebenzer asifouahwilliam jibour ebenzer asifouahwilliam jibour ebenzer asifouahwilliam jibour ebenzer asifouah,0
raj3 monta yehdik,0
hh ùala 7ala,0
slim ya9ra fl comm za3ma,0
raja3_bel 3id,0
svp partager,0
lawled mathamech la5bar hedha fi les radios,0
 belehi mech t9oul 3laya lbrigi,0
salam 3al 3a9leya wansa lbaledeya,0
portable samsung,0
3lah maydirch ft m3a phobia issac,0
invit plz,0
inti hiz 3aliya tlf ok,0
samir sellimi ra2iss far3 kouret el9adam lotfi lim7aysi mourafe9 fari9 ma7moud elwerteni directeur technique coach almani taw tchouf kifecha,0
fama khdima m3aq yrhem omk,0
hh falcao ya rie7ii d,0
bdina taw,0
raw7 nij,0
raj3 monta,0
qui est celui a,0
mednin y,0
hamza cherif,0
rawah y hkouma rawah,0
salamo aleykom,0
lichkon bich ybi3ha,0
salmoulna 3al 7leybi hh y 9aherhom,0
louled abonné li chaîne mte3i,0
trah aman fama suite khtekh fel lereh kalou eli c un reve ou mezel fama trp de mystere aman on veut une suite,0
yemchich 3am jey ywali f 9anet mak eli t7otou b samedi y5rej men 9anetek,0
rais tunis alhakiki,0
raj3ilna djabouu,0
saloum chkoun tayech o5t sehli ml blkoun,0
louled bellehi l port ta3i maya9rach l 3arbi tnajmou t9oulouli chnowa illi maktoub et merci,0
hamza chtabri,0
jib lcash,0
lien fb mta3 tounsya loula,0
hh esache ité3i bil bluetooth sa7bi yimchi wa7dou,0
isma3 nasi7a min 3andi barra ichri mla3biya min tawa ibda mil gardien winti tala3 9bal ma yifs3ou bihom ou kol yid ta5ou o5tha,0
